State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.722998547599779	0.0668236021067413	0.013238855556415456	3.0446733582929243E-4	0.0031912611739433223	0.0015786543990439403	0.1268283065889627	0.0030132782338852773	0.0011973016475571312	0.06082572535784265
2	0.20306437090921775	0.7566019674278326	0.002362693641628413	0.028431592419307566	0.004656873920997889	3.769104278296289E-4	0.003143310003227304	0.0013622812499589306	0.0	0.0
3	0.04867645685444584	0.0024263664619090064	0.6047987749963051	0.10919910241144176	0.0029240981249439462	1.5826908552019941E-6	0.07502986928789988	3.881496988812043E-5	0.03618758909598245	0.1207173451063288
4	0.0011926214474549935	0.02237425670448475	0.08197823385112676	0.8438610809905636	0.047198939083178904	0.0	0.0028745635084275454	0.0	0.0	5.203044147636138E-4
5	0.010036792476407527	0.004989875770572182	0.002921305790300278	0.061622724349679935	0.8038533616845767	0.1052570549148026	0.0	0.011318885013660906	0.0	0.0
6	0.0012914778562915473	7.978104581394136E-5	1.5938318920674575E-7	0.0	0.02288243596702125	0.9502264876294949	0.018066468579522276	0.007453189538666859	0.0	0.0
7	0.01842604021009086	1.5009599560337404E-4	0.003418955022935802	1.445460106410432E-4	8.358295606742808E-5	0.003478443082046299	0.9657594576120283	0.006880810860837481	1.9366863941008586E-4	0.00146439961033929
8	0.0013965795203365289	2.799924643937774E-4	9.841889563084585E-7	0.0	0.0014608902582502281	0.004653003612799118	0.022941030197764757	0.9690240721037341	0.0	2.434476537654259E-4
9	3.268153908414848E-4	0.0	0.0028424864736038375	0.0	0.0	0.0	3.3632898052769224E-4	0.0	0.970982456132852	0.02551191302217487
10	0.0018392319878218228	0.0	0.0011060944442955673	6.807251564556912E-6	0.0	0.0	2.818591814078149E-4	1.6660236610029302E-5	0.002941822320916563	0.9938075245773835
